Date,Rate,CGST%,Qty,CGST,SGST%,SGST,SlNo,Amount,IGST%,Qty,Item Name,IGST,Invoice No
12-04-24,4.33,9.00,0,38.97,9.00,38.97,174,510.94,0.00,100.00,VAY BAND 1515 VENGA MT,0.00,0
12-04-24,4.33,9.00,0,77.94,9.00,77.94,175,1021.88,0.00,200.00,VAY BAND 1043 (0.5 MM),0.00,0
12-04-24,4.33,9.00,50,38.97,9.00,38.97,176,510.94,0.00,100.00,VAY BAND 19071,0.00,50
12-04-24,4.33,9.00,0,58.46,9.00,58.46,177,766.42,0.00,150.00,VAY BAND 1043 (0.5 MM),0.00,0
12-04-24,4.33,9.00,0,58.46,9.00,58.46,178,766.42,0.00,150.00,VAY BAND 5465MT,0.00,0
12-04-24,4.33,9.00,50,58.46,9.00,58.46,179,766.42,0.00,150.00,VAY BAND 10485,0.00,50
12-04-24,4.33,9.00,0,58.46,9.00,58.46,180,766.42,0.00,150.00,VAY BAND 5772,0.00,0
12-04-24,4.33,9.00,0,38.97,9.00,38.97,181,510.94,0.00,100.00,VAY BAND REALWOOD LIGHT MAT,0.00,0
12-04-24,4.33,9.00,0,97.42,9.00,97.42,182,1277.34,0.00,250.00,VAY BAND 1043 (0.5 MM),0.00,0
12-04-24,4.33,9.00,50,38.97,9.00,38.97,183,510.94,0.00,100.00,VAY BAND 10485,0.00,50
12-04-24,4.33,9.00,0,38.97,9.00,38.97,184,510.94,0.00,100.00,VAY BAND 19070,0.00,0
12-04-24,4.33,9.00,3700,38.97,9.00,38.97,185,510.94,0.00,100.00,VAY BAND 10450,0.00,3700
12-04-24,4.33,9.00,3700,58.46,9.00,58.46,186,766.42,0.00,150.00,VAY BAND 10450,0.00,3700
12-04-24,4.66,9.00,900,20.97,9.00,20.97,187,274.94,0.00,50.00,VAY BAND 5170MT,0.00,900
12-04-24,4.66,9.00,0,104.85,9.00,104.85,188,1374.70,0.00,250.00,VAY BAND REALWOOD LIGHT MAT,0.00,0
12-04-24,4.66,9.00,0,20.97,9.00,20.97,189,274.94,0.00,50.00,VAY BAND REALWOOD-2 DARK MAT,0.00,0
