Item Code / SKU,Item Key,Item Name,Overall Monthly Velocity Qty,Recent Monthly Velocity Qty,Weighted Velocity Qty,Velocity Percentile,Velocity Class,Sales Frequency %,Recent Sales Frequency %,Consistency Class
VB-1144 MT(0.45X22MM),VB-1144 MT(0.45X22MM),VB-1144 MT(0.45X22MM),71.25,200.0,161.375,60.629921259842526,Medium Moving,15.0,50.0,Irregular
VB-11510(0.45X22MM),VB-11510(0.45X22MM),VB-11510(0.45X22MM),937.5,1900.0,1611.25,96.06299212598425,Very Fast Moving,27.5,50.0,Irregular
VB-1261 MAT(0.45MMX22MM),VB-1261 MAT(0.45MMX22MM),VB-1261 MAT(0.45MMX22MM),1081.25,1041.6666666666667,1053.5416666666665,92.51968503937007,Very Fast Moving,45.0,50.0,Moderate
VB-1263HG(0.5MMX22MM),VB-1263HG(0.5MMX22MM),VB-1263HG(0.5MMX22MM),243.75,558.3333333333334,463.9583333333333,85.8267716535433,Fast Moving,15.0,50.0,Irregular
VB-1291 ELECTRIC BLUE (0.45MMX22MM),VB-1291 ELECTRIC BLUE (0.45MMX22MM),VB-1291 ELECTRIC BLUE (0.45MMX22MM),128.75,0.0,38.625,25.196850393700785,Dormant,35.0,0.0,Dormant
VB-1299 NAVY BLUE (0.45MMX22MM),VB-1299 NAVY BLUE (0.45MMX22MM),VB-1299 NAVY BLUE (0.45MMX22MM),102.5,0.0,30.75,21.25984251968504,Dormant,37.5,0.0,Dormant
VB-1313MT(0.45MMX22MM),VB-1313MT(0.45MMX22MM),VB-1313MT(0.45MMX22MM),551.25,416.6666666666667,457.0416666666667,85.03937007874016,Fast Moving,40.0,50.0,Irregular
VB-1401MT (0.45X22MM),VB-1401MT (0.45X22MM),VB-1401MT (0.45X22MM),530.0,491.6666666666667,503.1666666666667,86.61417322834646,Fast Moving,30.0,50.0,Irregular
VB-1401MT(0.5MMX40MM),VB-1401MT(0.5MMX40MM),VB-1401MT(0.5MMX40MM),17.5,50.0,40.25,26.37795275590551,Slow Moving,12.5,33.33333333333333,Irregular
VB-1698 {0.45X22MM},VB-1698 {0.45X22MM},VB-1698 {0.45X22MM},148.75,250.0,219.625,66.14173228346458,Medium Moving,20.0,50.0,Irregular
VB-1803 ASH DARK(0.45MMX22MM),VB-1803 ASH DARK(0.45MMX22MM),VB-1803 ASH DARK(0.45MMX22MM),408.75,225.0,280.125,71.65354330708661,Medium Moving,45.0,50.0,Irregular
VB-1804{0.45X22MM},VB-1804{0.45X22MM},VB-1804{0.45X22MM},106.25,441.6666666666667,341.0416666666667,76.37795275590551,Fast Moving,15.0,33.33333333333333,Irregular
VB-1815 (0.45MMX22MM),VB-1815 (0.45MMX22MM),VB-1815 (0.45MMX22MM),238.75,183.33333333333334,199.95833333333334,64.1732283464567,Medium Moving,45.0,33.33333333333333,Irregular
VB-1873 (0.45X22MM),VB-1873 (0.45X22MM),VB-1873 (0.45X22MM),1106.25,1433.3333333333333,1335.2083333333333,94.88188976377953,Very Fast Moving,25.0,50.0,Irregular
VB-19070(0.45MMX22MM),VB-19070(0.45MMX22MM),VB-19070(0.45MMX22MM),907.5,2066.6666666666665,1718.9166666666665,96.8503937007874,Very Fast Moving,25.0,50.0,Irregular
VB-19071 (0.45X22MM),VB-19071 (0.45X22MM),VB-19071 (0.45X22MM),381.25,441.6666666666667,423.5416666666667,81.88976377952756,Fast Moving,30.0,50.0,Irregular
VB-19074 (0.45X22MM),VB-19074 (0.45X22MM),VB-19074 (0.45X22MM),237.5,241.66666666666666,240.41666666666666,68.11023622047244,Medium Moving,27.5,50.0,Irregular
VB-19079 (0.45X22MM),VB-19079 (0.45X22MM),VB-19079 (0.45X22MM),207.5,208.33333333333334,208.08333333333334,64.96062992125984,Medium Moving,25.0,50.0,Irregular
VB-2011MT (0.45X22MM),VB-2011MT (0.45X22MM),VB-2011MT (0.45X22MM),42.5,16.666666666666668,24.416666666666664,18.89763779527559,Slow Moving,17.5,16.666666666666664,Irregular
VB-2012 MT(0.45X22MM),VB-2012 MT(0.45X22MM),VB-2012 MT(0.45X22MM),8.75,0.0,2.625,5.511811023622047,Dormant,10.0,0.0,Dormant
VB-2890 MT(0.45X22MM),VB-2890 MT(0.45X22MM),VB-2890 MT(0.45X22MM),66.25,166.66666666666666,136.54166666666666,57.874015748031496,Medium Moving,15.0,50.0,Irregular
VB-2891-MT-WOOD-0.45*22,VB-2891-MT-WOOD-0.45*22,VB-2891-MT-WOOD-0.45*22,372.5,2483.3333333333335,1850.0833333333333,97.24409448818898,Very Fast Moving,7.5,50.0,Irregular
VB-2892 MT(.45X22MM),VB-2892 MT(.45X22MM),VB-2892 MT(.45X22MM),1037.5,5266.666666666667,3997.9166666666665,98.81889763779527,Very Fast Moving,15.0,50.0,Irregular
